"Pathway","Bacterium","Value","Map","Pathway_Class"
"Drug metabolism - cytochrome P450","Azospirillum lipoferum 59b",0.92,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Isoquinoline alkaloid biosynthesis","Azospirillum lipoferum 59b",0.87,"map00950","Metabolism; Biosynthesis of other secondary metabolites"
"Various types of N-glycan biosynthesis","Azospirillum lipoferum 59b",0.85,"map00513","Metabolism; Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - globo and isoglobo series","Azospirillum lipoferum 59b",0.85,"map00603","Metabolism; Glycan biosynthesis and metabolism"
"Aminobenzoate degradation","Azospirillum lipoferum 59b",0.8,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Limonene and pinene degradation","Azospirillum lipoferum 59b",0.8,"map00903","Metabolism; Metabolism of terpenoids and polyketides"
"Caprolactam degradation","Azospirillum lipoferum 59b",0.8,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Ethylbenzene degradation","Azospirillum lipoferum 59b",0.77,"map00642","Metabolism; Xenobiotics biodegradation and metabolism"
"Lipoic acid metabolism","Azospirillum lipoferum 59b",0.73,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Sphingolipid metabolism","Azospirillum lipoferum 59b",0.7,"map00600","Metabolism; Lipid metabolism"
"Phenazine biosynthesis","Azospirillum lipoferum 59b",0.67,"map00405","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of various secondary metabolites - part 3","Azospirillum lipoferum 59b",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Acarbose and validamycin biosynthesis","Azospirillum lipoferum 59b",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Aflatoxin biosynthesis","Azospirillum lipoferum 59b",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Aminoacyl-tRNA biosynthesis","Azospirillum lipoferum 59b",0.49,"map00970","Genetic Information Processing; Translation"
"Carbapenem biosynthesis","Azospirillum lipoferum 59b",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Azospirillum lipoferum 59b",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Neomycin; kanamycin and gentamicin biosynthesis","Azospirillum lipoferum 59b",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Azospirillum lipoferum 59b",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Azospirillum lipoferum 59b",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Azospirillum lipoferum 59b",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Azospirillum lipoferum 59b",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Azotobacter chroococcum B3",251.44,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Azotobacter chroococcum B3",91.52,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Azotobacter chroococcum B3",75.16,"map01120","Microbial metabolism in diverse environments"
"Porphyrin and chlorophyll metabolism","Azotobacter chroococcum B3",19.64,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Purine metabolism","Azotobacter chroococcum B3",17.45,"map00230","Metabolism; Nucleotide metabolism"
"Benzoate degradation","Azotobacter chroococcum B3",16.23,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Pyruvate metabolism","Azotobacter chroococcum B3",13.91,"map00620","Metabolism; Carbohydrate metabolism"
"Folate biosynthesis","Azotobacter chroococcum B3",12.86,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Cysteine and methionine metabolism","Azotobacter chroococcum B3",12.1,"map00270","Metabolism; Amino acid metabolism"
"Lipopolysaccharide biosynthesis","Azotobacter chroococcum B3",11.19,"map00540","Metabolism; Glycan biosynthesis and metabolism"
"Starch and sucrose metabolism","Azotobacter chroococcum B3",10.65,"map00500","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Azotobacter chroococcum B3",10.35,"map00720","Metabolism; Energy metabolism"
"Citrate cycle (TCA cycle)","Azotobacter chroococcum B3",9.7,"map00020","Metabolism; Carbohydrate metabolism"
"Methane metabolism","Azotobacter chroococcum B3",9.43,"map00680","Metabolism; Energy metabolism"
"Arginine and proline metabolism","Azotobacter chroococcum B3",9.39,"map00330","Metabolism; Amino acid metabolism"
"Glyoxylate and dicarboxylate metabolism","Azotobacter chroococcum B3",9.11,"map00630","Metabolism; Carbohydrate metabolism"
"Phenylalanine metabolism","Azotobacter chroococcum B3",9.03,"map00360","Metabolism; Amino acid metabolism"
"Glycolysis / Gluconeogenesis","Azotobacter chroococcum B3",8.42,"map00010","Metabolism; Carbohydrate metabolism"
"Glutathione metabolism","Azotobacter chroococcum B3",8.31,"map00480","Metabolism; Metabolism of other amino acids"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Azotobacter chroococcum B3",8.26,"map00400","Metabolism; Amino acid metabolism"
"Glycine; serine and threonine metabolism","Azotobacter chroococcum B3",7.77,"map00260","Metabolism; Amino acid metabolism"
"Nicotinate and nicotinamide metabolism","Azotobacter chroococcum B3",7.73,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Propanoate metabolism","Azotobacter chroococcum B3",7.57,"map00640","Metabolism; Carbohydrate metabolism"
"Fructose and mannose metabolism","Azotobacter chroococcum B3",7.51,"map00051","Metabolism; Carbohydrate metabolism"
"Histidine metabolism","Azotobacter chroococcum B3",7.35,"map00340","Metabolism; Amino acid metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Azotobacter chroococcum B3",7.3,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Amino sugar and nucleotide sugar metabolism","Azotobacter chroococcum B3",6.67,"map00520","Metabolism; Carbohydrate metabolism"
"Biotin metabolism","Azotobacter chroococcum B3",6.52,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Riboflavin metabolism","Azotobacter chroococcum B3",6.17,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Pentose phosphate pathway","Azotobacter chroococcum B3",6.08,"map00030","Metabolism; Carbohydrate metabolism"
"Alanine; aspartate and glutamate metabolism","Azotobacter chroococcum B3",6.08,"map00250","Metabolism; Amino acid metabolism"
"Butanoate metabolism","Azotobacter chroococcum B3",5.76,"map00650","Metabolism; Carbohydrate metabolism"
"Pantothenate and CoA biosynthesis","Azotobacter chroococcum B3",5.74,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Terpenoid backbone biosynthesis","Azotobacter chroococcum B3",5.68,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Tyrosine metabolism","Azotobacter chroococcum B3",5.33,"map00350","Metabolism; Amino acid metabolism"
"Xylene degradation","Azotobacter chroococcum B3",5.21,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"O-Antigen nucleotide sugar biosynthesis","Azotobacter chroococcum B3",5.1,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Arginine biosynthesis","Azotobacter chroococcum B3",4.93,"map00220","Metabolism; Amino acid metabolism"
"Thiamine metabolism","Azotobacter chroococcum B3",4.92,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Pyrimidine metabolism","Azotobacter chroococcum B3",4.89,"map00240","Metabolism; Nucleotide metabolism"
"Carbon fixation in photosynthetic organisms","Azotobacter chroococcum B3",4.81,"map00710","Metabolism; Energy metabolism"
"Glycerophospholipid metabolism","Azotobacter chroococcum B3",4.69,"map00564","Metabolism; Lipid metabolism"
"One carbon pool by folate","Azotobacter chroococcum B3",4.67,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Sulfur metabolism","Azotobacter chroococcum B3",4.38,"map00920","Metabolism; Energy metabolism"
"Drug metabolism - other enzymes","Azotobacter chroococcum B3",4.29,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Vitamin B6 metabolism","Azotobacter chroococcum B3",4.21,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Oxidative phosphorylation","Azotobacter chroococcum B3",4.08,"map00190","Metabolism; Energy metabolism"
"Lysine biosynthesis","Azotobacter chroococcum B3",4.08,"map00300","Metabolism; Amino acid metabolism"
"Styrene degradation","Azotobacter chroococcum B3",3.84,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Tryptophan metabolism","Azotobacter chroococcum B3",3.72,"map00380","Metabolism; Amino acid metabolism"
"Fatty acid biosynthesis","Azotobacter chroococcum B3",3.29,"map00061","Metabolism; Lipid metabolism"
"Peptidoglycan biosynthesis","Azotobacter chroococcum B3",3.25,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Dioxin degradation","Azotobacter chroococcum B3",3.24,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"beta-Alanine metabolism","Azotobacter chroococcum B3",3.14,"map00410","Metabolism; Metabolism of other amino acids"
"Valine; leucine and isoleucine biosynthesis","Azotobacter chroococcum B3",3.05,"map00290","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine degradation","Azotobacter chroococcum B3",3.02,"map00280","Metabolism; Amino acid metabolism"
"Lysine degradation","Azotobacter chroococcum B3",2.78,"map00310","Metabolism; Amino acid metabolism"
"Ascorbate and aldarate metabolism","Azotobacter chroococcum B3",2.75,"map00053","Metabolism; Carbohydrate metabolism"
"Galactose metabolism","Azotobacter chroococcum B3",2.72,"map00052","Metabolism; Carbohydrate metabolism"
"Selenocompound metabolism","Azotobacter chroococcum B3",2.67,"map00450","Metabolism; Metabolism of other amino acids"
"Streptomycin biosynthesis","Azotobacter chroococcum B3",2.58,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Taurine and hypotaurine metabolism","Azotobacter chroococcum B3",2.52,"map00430","Metabolism; Metabolism of other amino acids"
"Fluorobenzoate degradation","Azotobacter chroococcum B3",1.92,"map00364","Metabolism; Xenobiotics biodegradation and metabolism"
"Fatty acid degradation","Azotobacter chroococcum B3",1.81,"map00071","Metabolism; Lipid metabolism"
"alpha-Linolenic acid metabolism","Azotobacter chroococcum B3",1.81,"map00592","Metabolism; Lipid metabolism"
"Cyanoamino acid metabolism","Azotobacter chroococcum B3",1.74,"map00460","Metabolism; Metabolism of other amino acids"
"Lipoic acid metabolism","Azotobacter chroococcum B3",1.69,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Polyketide sugar unit biosynthesis","Azotobacter chroococcum B3",1.6,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Fatty acid elongation","Azotobacter chroococcum B3",1.57,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Azotobacter chroococcum B3",1.57,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Nitrogen metabolism","Azotobacter chroococcum B3",1.49,"map00910","Metabolism; Energy metabolism"
"Chloroalkane and chloroalkene degradation","Azotobacter chroococcum B3",1.2,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"C5-Branched dibasic acid metabolism","Azotobacter chroococcum B3",1.19,"map00660","Metabolism; Carbohydrate metabolism"
"Metabolism of xenobiotics by cytochrome P450","Azotobacter chroococcum B3",1.17,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Azotobacter chroococcum B3",1.17,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Monobactam biosynthesis","Azotobacter chroococcum B3",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Nitrotoluene degradation","Azotobacter chroococcum B3",1,"map00633","Metabolism; Xenobiotics biodegradation and metabolism"
"Carotenoid biosynthesis","Azotobacter chroococcum B3",1,"map00906","Metabolism; Metabolism of terpenoids and polyketides"
"Biosynthesis of various secondary metabolites - part 2","Azotobacter chroococcum B3",0.99,"map00998","Metabolism; Biosynthesis of other secondary metabolites"
"Chlorocyclohexane and chlorobenzene degradation","Azotobacter chroococcum B3",0.97,"map00361","Metabolism; Xenobiotics biodegradation and metabolism"
"Novobiocin biosynthesis","Azotobacter chroococcum B3",0.94,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Polycyclic aromatic hydrocarbon degradation","Azotobacter chroococcum B3",0.94,"map00624","Metabolism; Xenobiotics biodegradation and metabolism"
"Phenylpropanoid biosynthesis","Azotobacter chroococcum B3",0.94,"map00940","Metabolism; Biosynthesis of other secondary metabolites"
"Other glycan degradation","Azotobacter chroococcum B3",0.85,"map00511","Metabolism; Glycan biosynthesis and metabolism"
"Various types of N-glycan biosynthesis","Azotobacter chroococcum B3",0.85,"map00513","Metabolism; Glycan biosynthesis and metabolism"
"Glycosaminoglycan degradation","Azotobacter chroococcum B3",0.85,"map00531","Metabolism; Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - globo and isoglobo series","Azotobacter chroococcum B3",0.85,"map00603","Metabolism; Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - ganglio series","Azotobacter chroococcum B3",0.85,"map00604","Metabolism; Glycan biosynthesis and metabolism"
"Atrazine degradation","Azotobacter chroococcum B3",0.81,"map00791","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminobenzoate degradation","Azotobacter chroococcum B3",0.8,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Limonene and pinene degradation","Azotobacter chroococcum B3",0.8,"map00903","Metabolism; Metabolism of terpenoids and polyketides"
"Caprolactam degradation","Azotobacter chroococcum B3",0.8,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Human immunodeficiency virus 1 infection","Azotobacter chroococcum B3",0.79,"map05170","Human Diseases; Infectious disease: viral"
"Ethylbenzene degradation","Azotobacter chroococcum B3",0.77,"map00642","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of unsaturated fatty acids","Azotobacter chroococcum B3",0.77,"map01040","Metabolism; Lipid metabolism"
"Phenazine biosynthesis","Azotobacter chroococcum B3",0.67,"map00405","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of various secondary metabolites - part 3","Azotobacter chroococcum B3",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"D-Amino acid metabolism","Azotobacter chroococcum B3",0.55,"map00470","Metabolism; Metabolism of other amino acids"
"Acarbose and validamycin biosynthesis","Azotobacter chroococcum B3",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerolipid metabolism","Azotobacter chroococcum B3",0.55,"map00561","Metabolism; Lipid metabolism"
"Aflatoxin biosynthesis","Azotobacter chroococcum B3",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Aminoacyl-tRNA biosynthesis","Azotobacter chroococcum B3",0.49,"map00970","Genetic Information Processing; Translation"
"Carbapenem biosynthesis","Azotobacter chroococcum B3",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Azotobacter chroococcum B3",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Azotobacter chroococcum B3",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Pentose and glucuronate interconversions","Azotobacter chroococcum B3",0.28,"map00040","Metabolism; Carbohydrate metabolism"
"Neomycin; kanamycin and gentamicin biosynthesis","Azotobacter chroococcum B3",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Naphthalene degradation","Azotobacter chroococcum B3",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Azotobacter chroococcum B3",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Biosynthesis of vancomycin group antibiotics","Azotobacter chroococcum B3",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Azotobacter chroococcum B3",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Inositol phosphate metabolism","Azotobacter chroococcum B3",0.02,"map00562","Metabolism; Carbohydrate metabolism"
"Zeatin biosynthesis","Azotobacter chroococcum B3",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Azotobacter chroococcum B3",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Bacillus amyloliquefaciens WF02",168.99,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Bacillus amyloliquefaciens WF02",77.65,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Bacillus amyloliquefaciens WF02",48.11,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Bacillus amyloliquefaciens WF02",14.5,"map00230","Metabolism; Nucleotide metabolism"
"Cysteine and methionine metabolism","Bacillus amyloliquefaciens WF02",12.21,"map00270","Metabolism; Amino acid metabolism"
"Glycine; serine and threonine metabolism","Bacillus amyloliquefaciens WF02",10.51,"map00260","Metabolism; Amino acid metabolism"
"Glyoxylate and dicarboxylate metabolism","Bacillus amyloliquefaciens WF02",9.67,"map00630","Metabolism; Carbohydrate metabolism"
"Pyruvate metabolism","Bacillus amyloliquefaciens WF02",9.47,"map00620","Metabolism; Carbohydrate metabolism"
"Propanoate metabolism","Bacillus amyloliquefaciens WF02",9.33,"map00640","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Bacillus amyloliquefaciens WF02",9.25,"map00720","Metabolism; Energy metabolism"
"Citrate cycle (TCA cycle)","Bacillus amyloliquefaciens WF02",8.57,"map00020","Metabolism; Carbohydrate metabolism"
"Methane metabolism","Bacillus amyloliquefaciens WF02",8.19,"map00680","Metabolism; Energy metabolism"
"Alanine; aspartate and glutamate metabolism","Bacillus amyloliquefaciens WF02",7.95,"map00250","Metabolism; Amino acid metabolism"
"Glycolysis / Gluconeogenesis","Bacillus amyloliquefaciens WF02",7.89,"map00010","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Bacillus amyloliquefaciens WF02",7.26,"map00240","Metabolism; Nucleotide metabolism"
"Arginine biosynthesis","Bacillus amyloliquefaciens WF02",7.11,"map00220","Metabolism; Amino acid metabolism"
"Porphyrin and chlorophyll metabolism","Bacillus amyloliquefaciens WF02",7.03,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Pentose phosphate pathway","Bacillus amyloliquefaciens WF02",6.26,"map00030","Metabolism; Carbohydrate metabolism"
"Folate biosynthesis","Bacillus amyloliquefaciens WF02",6.23,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Histidine metabolism","Bacillus amyloliquefaciens WF02",6.14,"map00340","Metabolism; Amino acid metabolism"
"Pantothenate and CoA biosynthesis","Bacillus amyloliquefaciens WF02",5.98,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Inositol phosphate metabolism","Bacillus amyloliquefaciens WF02",5.92,"map00562","Metabolism; Carbohydrate metabolism"
"Thiamine metabolism","Bacillus amyloliquefaciens WF02",5.91,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Bacillus amyloliquefaciens WF02",5.8,"map00400","Metabolism; Amino acid metabolism"
"Butanoate metabolism","Bacillus amyloliquefaciens WF02",5.8,"map00650","Metabolism; Carbohydrate metabolism"
"Arginine and proline metabolism","Bacillus amyloliquefaciens WF02",5.57,"map00330","Metabolism; Amino acid metabolism"
"Lysine degradation","Bacillus amyloliquefaciens WF02",5.44,"map00310","Metabolism; Amino acid metabolism"
"Biotin metabolism","Bacillus amyloliquefaciens WF02",5.36,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Pentose and glucuronate interconversions","Bacillus amyloliquefaciens WF02",5.31,"map00040","Metabolism; Carbohydrate metabolism"
"Riboflavin metabolism","Bacillus amyloliquefaciens WF02",5.22,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Ubiquinone and other terpenoid-quinone biosynthesis","Bacillus amyloliquefaciens WF02",5.07,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Sulfur metabolism","Bacillus amyloliquefaciens WF02",4.79,"map00920","Metabolism; Energy metabolism"
"One carbon pool by folate","Bacillus amyloliquefaciens WF02",4.75,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Terpenoid backbone biosynthesis","Bacillus amyloliquefaciens WF02",4.71,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Starch and sucrose metabolism","Bacillus amyloliquefaciens WF02",4.59,"map00500","Metabolism; Carbohydrate metabolism"
"Tryptophan metabolism","Bacillus amyloliquefaciens WF02",4.47,"map00380","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine degradation","Bacillus amyloliquefaciens WF02",4,"map00280","Metabolism; Amino acid metabolism"
"D-Amino acid metabolism","Bacillus amyloliquefaciens WF02",3.95,"map00470","Metabolism; Metabolism of other amino acids"
"Glycerophospholipid metabolism","Bacillus amyloliquefaciens WF02",3.5,"map00564","Metabolism; Lipid metabolism"
"Fructose and mannose metabolism","Bacillus amyloliquefaciens WF02",3.48,"map00051","Metabolism; Carbohydrate metabolism"
"Amino sugar and nucleotide sugar metabolism","Bacillus amyloliquefaciens WF02",3.42,"map00520","Metabolism; Carbohydrate metabolism"
"Fatty acid biosynthesis","Bacillus amyloliquefaciens WF02",3.26,"map00061","Metabolism; Lipid metabolism"
"Nicotinate and nicotinamide metabolism","Bacillus amyloliquefaciens WF02",3.22,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"beta-Alanine metabolism","Bacillus amyloliquefaciens WF02",3.14,"map00410","Metabolism; Metabolism of other amino acids"
"Galactose metabolism","Bacillus amyloliquefaciens WF02",3.12,"map00052","Metabolism; Carbohydrate metabolism"
"Valine; leucine and isoleucine biosynthesis","Bacillus amyloliquefaciens WF02",3.05,"map00290","Metabolism; Amino acid metabolism"
"Carbon fixation in photosynthetic organisms","Bacillus amyloliquefaciens WF02",3.04,"map00710","Metabolism; Energy metabolism"
"Benzoate degradation","Bacillus amyloliquefaciens WF02",3.02,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Glutathione metabolism","Bacillus amyloliquefaciens WF02",2.94,"map00480","Metabolism; Metabolism of other amino acids"
"Phenylalanine metabolism","Bacillus amyloliquefaciens WF02",2.87,"map00360","Metabolism; Amino acid metabolism"
"Taurine and hypotaurine metabolism","Bacillus amyloliquefaciens WF02",2.6,"map00430","Metabolism; Metabolism of other amino acids"
"Cyanoamino acid metabolism","Bacillus amyloliquefaciens WF02",2.6,"map00460","Metabolism; Metabolism of other amino acids"
"Drug metabolism - other enzymes","Bacillus amyloliquefaciens WF02",2.04,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Peptidoglycan biosynthesis","Bacillus amyloliquefaciens WF02",2.01,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Fatty acid degradation","Bacillus amyloliquefaciens WF02",1.88,"map00071","Metabolism; Lipid metabolism"
"Streptomycin biosynthesis","Bacillus amyloliquefaciens WF02",1.76,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"O-Antigen nucleotide sugar biosynthesis","Bacillus amyloliquefaciens WF02",1.74,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"C5-Branched dibasic acid metabolism","Bacillus amyloliquefaciens WF02",1.67,"map00660","Metabolism; Carbohydrate metabolism"
"Tyrosine metabolism","Bacillus amyloliquefaciens WF02",1.51,"map00350","Metabolism; Amino acid metabolism"
"Nitrogen metabolism","Bacillus amyloliquefaciens WF02",1.51,"map00910","Metabolism; Energy metabolism"
"Glycerolipid metabolism","Bacillus amyloliquefaciens WF02",1.47,"map00561","Metabolism; Lipid metabolism"
"Vitamin B6 metabolism","Bacillus amyloliquefaciens WF02",1.42,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Lipoic acid metabolism","Bacillus amyloliquefaciens WF02",1.23,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Selenocompound metabolism","Bacillus amyloliquefaciens WF02",1.04,"map00450","Metabolism; Metabolism of other amino acids"
"alpha-Linolenic acid metabolism","Bacillus amyloliquefaciens WF02",1.04,"map00592","Metabolism; Lipid metabolism"
"Oxidative phosphorylation","Bacillus amyloliquefaciens WF02",1.03,"map00190","Metabolism; Energy metabolism"
"Monobactam biosynthesis","Bacillus amyloliquefaciens WF02",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of various secondary metabolites - part 2","Bacillus amyloliquefaciens WF02",0.98,"map00998","Metabolism; Biosynthesis of other secondary metabolites"
"Penicillin and cephalosporin biosynthesis","Bacillus amyloliquefaciens WF02",0.97,"map00311","Metabolism; Biosynthesis of other secondary metabolites"
"Lysine biosynthesis","Bacillus amyloliquefaciens WF02",0.94,"map00300","Metabolism; Amino acid metabolism"
"Novobiocin biosynthesis","Bacillus amyloliquefaciens WF02",0.94,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of siderophore group nonribosomal peptides","Bacillus amyloliquefaciens WF02",0.94,"map01053","Metabolism; Metabolism of terpenoids and polyketides"
"Ascorbate and aldarate metabolism","Bacillus amyloliquefaciens WF02",0.91,"map00053","Metabolism; Carbohydrate metabolism"
"PD-L1 expression and PD-1 checkpoint pathway in cancer","Bacillus amyloliquefaciens WF02",0.85,"map05235","Human Diseases; Cancer: overview"
"Atrazine degradation","Bacillus amyloliquefaciens WF02",0.81,"map00791","Metabolism; Xenobiotics biodegradation and metabolism"
"Fatty acid elongation","Bacillus amyloliquefaciens WF02",0.8,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Bacillus amyloliquefaciens WF02",0.8,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Aminobenzoate degradation","Bacillus amyloliquefaciens WF02",0.8,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Limonene and pinene degradation","Bacillus amyloliquefaciens WF02",0.8,"map00903","Metabolism; Metabolism of terpenoids and polyketides"
"Caprolactam degradation","Bacillus amyloliquefaciens WF02",0.8,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminoacyl-tRNA biosynthesis","Bacillus amyloliquefaciens WF02",0.8,"map00970","Genetic Information Processing; Translation"
"Human immunodeficiency virus 1 infection","Bacillus amyloliquefaciens WF02",0.79,"map05170","Human Diseases; Infectious disease: viral"
"Polyketide sugar unit biosynthesis","Bacillus amyloliquefaciens WF02",0.67,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Biosynthesis of various secondary metabolites - part 3","Bacillus amyloliquefaciens WF02",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Aflatoxin biosynthesis","Bacillus amyloliquefaciens WF02",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Dioxin degradation","Bacillus amyloliquefaciens WF02",0.48,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Bacillus amyloliquefaciens WF02",0.48,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Carbapenem biosynthesis","Bacillus amyloliquefaciens WF02",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Bacillus amyloliquefaciens WF02",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Bacillus amyloliquefaciens WF02",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Neomycin; kanamycin and gentamicin biosynthesis","Bacillus amyloliquefaciens WF02",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Chloroalkane and chloroalkene degradation","Bacillus amyloliquefaciens WF02",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Bacillus amyloliquefaciens WF02",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Bacillus amyloliquefaciens WF02",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
