"Group","bacteria","pathway"
"Group1","Enterococcus durans 8L1-82","Secondary bile acid biosynthesis"
"Group1","Enterococcus durans 8L1-82","Phenazine biosynthesis"
"Group1","Enterococcus durans 8L1-82","Aflatoxin biosynthesis"
"Group1","Enterococcus durans 8L1-82","Human immunodeficiency virus 1 infection"
"Group1","Enterococcus durans 8L1-82","Ethylbenzene degradation"
"Group1","Enterococcus durans 8L1-82","Atrazine degradation"
"Group1","Enterococcus durans 8L1-82","Biosynthesis of unsaturated fatty acids"
"Group1","Enterococcus durans 8L1-82","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Enterococcus durans 8L1-82","Limonene and pinene degradation"
"Group1","Enterococcus durans 8L1-82","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Enterococcus durans 8L1-82","Fluorobenzoate degradation"
"Group1","Enterococcus durans 8L1-82","Polycyclic aromatic hydrocarbon degradation"
"Group1","Enterococcus durans 8L1-82","Isoquinoline alkaloid biosynthesis"
"Group1","Enterococcus durans 8L1-82","Flavone and flavonol biosynthesis"
"Group1","Enterococcus durans 8L1-82","Ether lipid metabolism"
"Group1","Enterococcus durans 8L1-82","Arachidonic acid metabolism"
"Group1","Enterococcus durans 8L1-82","Linoleic acid metabolism"
"Group1","Enterococcus durans 8L1-82","Steroid biosynthesis"
"Group1","Enterococcus durans 8L1-82","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Enterococcus durans 8L1-82","Mannose type O-glycan biosynthesis"
"Group1","Enterococcus durans 8L1-82","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycolysis / Gluconeogenesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Citrate cycle (TCA cycle)"
"Group1","Enterococcus faecalis EnGen0336 T5","Pentose phosphate pathway"
"Group1","Enterococcus faecalis EnGen0336 T5","Pentose and glucuronate interconversions"
"Group1","Enterococcus faecalis EnGen0336 T5","Fructose and mannose metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Galactose metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Fatty acid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Oxidative phosphorylation"
"Group1","Enterococcus faecalis EnGen0336 T5","Photosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Arginine biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Purine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Pyrimidine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Alanine; aspartate and glutamate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycine; serine and threonine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Monobactam biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Cysteine and methionine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Valine; leucine and isoleucine degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Valine; leucine and isoleucine biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Lysine biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Lysine degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Arginine and proline metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Carbapenem biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Histidine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Tyrosine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Phenylalanine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Tryptophan metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Novobiocin biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","beta-Alanine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Taurine and hypotaurine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Selenocompound metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Cyanoamino acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","D-Amino acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Glutathione metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Starch and sucrose metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Other glycan degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Amino sugar and nucleotide sugar metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Streptomycin biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Polyketide sugar unit biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Acarbose and validamycin biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycosaminoglycan degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","O-Antigen nucleotide sugar biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Peptidoglycan biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycerolipid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Inositol phosphate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycerophospholipid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Sphingolipid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Enterococcus faecalis EnGen0336 T5","Pyruvate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Aminobenzoate degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Glyoxylate and dicarboxylate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Propanoate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Styrene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Butanoate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","C5-Branched dibasic acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","One carbon pool by folate"
"Group1","Enterococcus faecalis EnGen0336 T5","Methane metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Carbon fixation in photosynthetic organisms"
"Group1","Enterococcus faecalis EnGen0336 T5","Carbon fixation pathways in prokaryotes"
"Group1","Enterococcus faecalis EnGen0336 T5","Thiamine metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Riboflavin metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Vitamin B6 metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Nicotinate and nicotinamide metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Pantothenate and CoA biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Biotin metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Lipoic acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Folate biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Porphyrin and chlorophyll metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Terpenoid backbone biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Zeatin biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Nitrogen metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Sulfur metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Phenylpropanoid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Glucosinolate biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Aminoacyl-tRNA biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Drug metabolism - other enzymes"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of various secondary metabolites - part 3"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of ansamycins"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of vancomycin group antibiotics"
"Group1","Enterococcus faecalis EnGen0336 T5","Metabolic pathways"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of secondary metabolites"
"Group1","Enterococcus faecalis EnGen0336 T5","Microbial metabolism in diverse environments"
"Group1","Enterococcus faecalis EnGen0336 T5","Various types of N-glycan biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Lipopolysaccharide biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Glycosphingolipid biosynthesis - globo and isoglobo series"
"Group1","Enterococcus faecalis EnGen0336 T5","Ascorbate and aldarate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Fatty acid elongation"
"Group1","Enterococcus faecalis EnGen0336 T5","Fatty acid degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Geraniol degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Benzoate degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","alpha-Linolenic acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Dioxin degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Xylene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Toluene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Chloroalkane and chloroalkene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Naphthalene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Retinol metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Caprolactam degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Metabolism of xenobiotics by cytochrome P450"
"Group1","Enterococcus faecalis EnGen0336 T5","Drug metabolism - cytochrome P450"
"Group1","Enterococcus faecalis EnGen0336 T5","Steroid hormone biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Phosphonate and phosphinate metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of various secondary metabolites - part 2"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Enterococcus faecalis EnGen0336 T5","Primary bile acid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Secondary bile acid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Phenazine biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Aflatoxin biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Human immunodeficiency virus 1 infection"
"Group1","Enterococcus faecalis EnGen0336 T5","Ethylbenzene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Atrazine degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of unsaturated fatty acids"
"Group1","Enterococcus faecalis EnGen0336 T5","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Enterococcus faecalis EnGen0336 T5","Limonene and pinene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Fluorobenzoate degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Polycyclic aromatic hydrocarbon degradation"
"Group1","Enterococcus faecalis EnGen0336 T5","Isoquinoline alkaloid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Flavone and flavonol biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Ether lipid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Arachidonic acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Linoleic acid metabolism"
"Group1","Enterococcus faecalis EnGen0336 T5","Steroid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Mannose type O-glycan biosynthesis"
"Group1","Enterococcus faecalis EnGen0336 T5","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Enterococcus hirae FDAARGOS_234","Glycolysis / Gluconeogenesis"
"Group1","Enterococcus hirae FDAARGOS_234","Citrate cycle (TCA cycle)"
"Group1","Enterococcus hirae FDAARGOS_234","Pentose phosphate pathway"
"Group1","Enterococcus hirae FDAARGOS_234","Pentose and glucuronate interconversions"
"Group1","Enterococcus hirae FDAARGOS_234","Fructose and mannose metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Galactose metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Fatty acid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Oxidative phosphorylation"
"Group1","Enterococcus hirae FDAARGOS_234","Photosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Arginine biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Purine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Pyrimidine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Alanine; aspartate and glutamate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Glycine; serine and threonine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Monobactam biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Cysteine and methionine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Valine; leucine and isoleucine degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Valine; leucine and isoleucine biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Lysine biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Lysine degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Arginine and proline metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Carbapenem biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Histidine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Tyrosine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Phenylalanine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Tryptophan metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Novobiocin biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","beta-Alanine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Taurine and hypotaurine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Selenocompound metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Cyanoamino acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","D-Amino acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Glutathione metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Starch and sucrose metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Other glycan degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Amino sugar and nucleotide sugar metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Streptomycin biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Polyketide sugar unit biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Acarbose and validamycin biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Glycosaminoglycan degradation"
"Group1","Enterococcus hirae FDAARGOS_234","O-Antigen nucleotide sugar biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Peptidoglycan biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Glycerolipid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Inositol phosphate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Glycerophospholipid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Sphingolipid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Enterococcus hirae FDAARGOS_234","Pyruvate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Aminobenzoate degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Glyoxylate and dicarboxylate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Propanoate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Styrene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Butanoate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","C5-Branched dibasic acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","One carbon pool by folate"
"Group1","Enterococcus hirae FDAARGOS_234","Methane metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Carbon fixation in photosynthetic organisms"
"Group1","Enterococcus hirae FDAARGOS_234","Carbon fixation pathways in prokaryotes"
"Group1","Enterococcus hirae FDAARGOS_234","Thiamine metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Riboflavin metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Vitamin B6 metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Nicotinate and nicotinamide metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Pantothenate and CoA biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Biotin metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Lipoic acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Folate biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Porphyrin and chlorophyll metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Terpenoid backbone biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Zeatin biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Nitrogen metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Sulfur metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Phenylpropanoid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Glucosinolate biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Aminoacyl-tRNA biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Drug metabolism - other enzymes"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of various secondary metabolites - part 3"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of ansamycins"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of vancomycin group antibiotics"
"Group1","Enterococcus hirae FDAARGOS_234","Metabolic pathways"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of secondary metabolites"
"Group1","Enterococcus hirae FDAARGOS_234","Microbial metabolism in diverse environments"
"Group1","Enterococcus hirae FDAARGOS_234","Various types of N-glycan biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Lipopolysaccharide biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Glycosphingolipid biosynthesis - globo and isoglobo series"
"Group1","Enterococcus hirae FDAARGOS_234","Ascorbate and aldarate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Fatty acid elongation"
"Group1","Enterococcus hirae FDAARGOS_234","Fatty acid degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Geraniol degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Benzoate degradation"
"Group1","Enterococcus hirae FDAARGOS_234","alpha-Linolenic acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Dioxin degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Xylene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Toluene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Chloroalkane and chloroalkene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Naphthalene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Retinol metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Caprolactam degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Metabolism of xenobiotics by cytochrome P450"
"Group1","Enterococcus hirae FDAARGOS_234","Drug metabolism - cytochrome P450"
"Group1","Enterococcus hirae FDAARGOS_234","Steroid hormone biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Phosphonate and phosphinate metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of various secondary metabolites - part 2"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of siderophore group nonribosomal peptides"
"Group1","Enterococcus hirae FDAARGOS_234","Primary bile acid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Secondary bile acid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Phenazine biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Aflatoxin biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Human immunodeficiency virus 1 infection"
"Group1","Enterococcus hirae FDAARGOS_234","Ethylbenzene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Atrazine degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of unsaturated fatty acids"
"Group1","Enterococcus hirae FDAARGOS_234","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"Group1","Enterococcus hirae FDAARGOS_234","Limonene and pinene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Chlorocyclohexane and chlorobenzene degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Fluorobenzoate degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Polycyclic aromatic hydrocarbon degradation"
"Group1","Enterococcus hirae FDAARGOS_234","Isoquinoline alkaloid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Flavone and flavonol biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Ether lipid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Arachidonic acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Linoleic acid metabolism"
"Group1","Enterococcus hirae FDAARGOS_234","Steroid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Sesquiterpenoid and triterpenoid biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Mannose type O-glycan biosynthesis"
"Group1","Enterococcus hirae FDAARGOS_234","Biosynthesis of 12-; 14- and 16-membered macrolides"
"Group1","Enterococcus mundtii DSM 4838","Glycolysis / Gluconeogenesis"
"Group1","Enterococcus mundtii DSM 4838","Citrate cycle (TCA cycle)"
"Group1","Enterococcus mundtii DSM 4838","Pentose phosphate pathway"
"Group1","Enterococcus mundtii DSM 4838","Pentose and glucuronate interconversions"
"Group1","Enterococcus mundtii DSM 4838","Fructose and mannose metabolism"
"Group1","Enterococcus mundtii DSM 4838","Galactose metabolism"
"Group1","Enterococcus mundtii DSM 4838","Fatty acid biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Ubiquinone and other terpenoid-quinone biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Oxidative phosphorylation"
"Group1","Enterococcus mundtii DSM 4838","Photosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Arginine biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Purine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Pyrimidine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Alanine; aspartate and glutamate metabolism"
"Group1","Enterococcus mundtii DSM 4838","Glycine; serine and threonine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Monobactam biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Cysteine and methionine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Valine; leucine and isoleucine degradation"
"Group1","Enterococcus mundtii DSM 4838","Valine; leucine and isoleucine biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Lysine biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Lysine degradation"
"Group1","Enterococcus mundtii DSM 4838","Arginine and proline metabolism"
"Group1","Enterococcus mundtii DSM 4838","Carbapenem biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Histidine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Tyrosine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Phenylalanine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Tryptophan metabolism"
"Group1","Enterococcus mundtii DSM 4838","Phenylalanine; tyrosine and tryptophan biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Novobiocin biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","beta-Alanine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Taurine and hypotaurine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Selenocompound metabolism"
"Group1","Enterococcus mundtii DSM 4838","Cyanoamino acid metabolism"
"Group1","Enterococcus mundtii DSM 4838","D-Amino acid metabolism"
"Group1","Enterococcus mundtii DSM 4838","Glutathione metabolism"
"Group1","Enterococcus mundtii DSM 4838","Starch and sucrose metabolism"
"Group1","Enterococcus mundtii DSM 4838","Other glycan degradation"
"Group1","Enterococcus mundtii DSM 4838","Amino sugar and nucleotide sugar metabolism"
"Group1","Enterococcus mundtii DSM 4838","Streptomycin biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Polyketide sugar unit biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Neomycin; kanamycin and gentamicin biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Acarbose and validamycin biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Glycosaminoglycan degradation"
"Group1","Enterococcus mundtii DSM 4838","O-Antigen nucleotide sugar biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Peptidoglycan biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Glycerolipid metabolism"
"Group1","Enterococcus mundtii DSM 4838","Inositol phosphate metabolism"
"Group1","Enterococcus mundtii DSM 4838","Glycerophospholipid metabolism"
"Group1","Enterococcus mundtii DSM 4838","Sphingolipid metabolism"
"Group1","Enterococcus mundtii DSM 4838","Glycosphingolipid biosynthesis - ganglio series"
"Group1","Enterococcus mundtii DSM 4838","Pyruvate metabolism"
"Group1","Enterococcus mundtii DSM 4838","Aminobenzoate degradation"
"Group1","Enterococcus mundtii DSM 4838","Glyoxylate and dicarboxylate metabolism"
"Group1","Enterococcus mundtii DSM 4838","Propanoate metabolism"
"Group1","Enterococcus mundtii DSM 4838","Styrene degradation"
"Group1","Enterococcus mundtii DSM 4838","Butanoate metabolism"
"Group1","Enterococcus mundtii DSM 4838","C5-Branched dibasic acid metabolism"
"Group1","Enterococcus mundtii DSM 4838","One carbon pool by folate"
"Group1","Enterococcus mundtii DSM 4838","Methane metabolism"
"Group1","Enterococcus mundtii DSM 4838","Carbon fixation in photosynthetic organisms"
"Group1","Enterococcus mundtii DSM 4838","Carbon fixation pathways in prokaryotes"
"Group1","Enterococcus mundtii DSM 4838","Thiamine metabolism"
"Group1","Enterococcus mundtii DSM 4838","Riboflavin metabolism"
"Group1","Enterococcus mundtii DSM 4838","Vitamin B6 metabolism"
"Group1","Enterococcus mundtii DSM 4838","Nicotinate and nicotinamide metabolism"
"Group1","Enterococcus mundtii DSM 4838","Pantothenate and CoA biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Biotin metabolism"
"Group1","Enterococcus mundtii DSM 4838","Lipoic acid metabolism"
"Group1","Enterococcus mundtii DSM 4838","Folate biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Porphyrin and chlorophyll metabolism"
"Group1","Enterococcus mundtii DSM 4838","Terpenoid backbone biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Zeatin biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Nitrogen metabolism"
"Group1","Enterococcus mundtii DSM 4838","Sulfur metabolism"
"Group1","Enterococcus mundtii DSM 4838","Phenylpropanoid biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Tropane; piperidine and pyridine alkaloid biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Glucosinolate biosynthesis"
"Group1","Enterococcus mundtii DSM 4838","Aminoacyl-tRNA biosynthesis"
