"Group","bacteria","pathway","genus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Glutathione metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Starch and sucrose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Amino sugar and nucleotide sugar metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","O-Antigen nucleotide sugar biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Peptidoglycan biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Glycerophospholipid metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Pyruvate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Propanoate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Butanoate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","One carbon pool by folate","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Methane metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Carbon fixation in photosynthetic organisms","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Carbon fixation pathways in prokaryotes","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Thiamine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Riboflavin metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Nicotinate and nicotinamide metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Pantothenate and CoA biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Porphyrin and chlorophyll metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Terpenoid backbone biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Nitrogen metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Aminoacyl-tRNA biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus pentosus DSM 20314","Drug metabolism - other enzymes","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Glycolysis / Gluconeogenesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Citrate cycle (TCA cycle)","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Pentose phosphate pathway","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Pentose and glucuronate interconversions","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Fructose and mannose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Galactose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Oxidative phosphorylation","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Photosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Arginine biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Purine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Pyrimidine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Alanine; aspartate and glutamate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Glycine; serine and threonine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Cysteine and methionine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Valine; leucine and isoleucine degradation","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Lysine biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Tyrosine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Taurine and hypotaurine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Selenocompound metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","D-Amino acid metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Glutathione metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Starch and sucrose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Amino sugar and nucleotide sugar metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","O-Antigen nucleotide sugar biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Peptidoglycan biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Glycerophospholipid metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Pyruvate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Propanoate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Butanoate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","One carbon pool by folate","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Methane metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Carbon fixation in photosynthetic organisms","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Carbon fixation pathways in prokaryotes","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Thiamine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Riboflavin metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Nicotinate and nicotinamide metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Pantothenate and CoA biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Porphyrin and chlorophyll metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Terpenoid backbone biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Nitrogen metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Aminoacyl-tRNA biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum 299v","Drug metabolism - other enzymes","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Glycolysis / Gluconeogenesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Citrate cycle (TCA cycle)","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Pentose phosphate pathway","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Pentose and glucuronate interconversions","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Fructose and mannose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Galactose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Oxidative phosphorylation","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Photosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Arginine biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Purine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Pyrimidine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Alanine; aspartate and glutamate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Glycine; serine and threonine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Cysteine and methionine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Valine; leucine and isoleucine degradation","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Lysine biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Tyrosine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Taurine and hypotaurine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Selenocompound metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","D-Amino acid metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Glutathione metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Starch and sucrose metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Amino sugar and nucleotide sugar metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","O-Antigen nucleotide sugar biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Peptidoglycan biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Glycerophospholipid metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Pyruvate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Propanoate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Butanoate metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","One carbon pool by folate","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Methane metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Carbon fixation in photosynthetic organisms","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Carbon fixation pathways in prokaryotes","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Thiamine metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Riboflavin metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Nicotinate and nicotinamide metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Pantothenate and CoA biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Porphyrin and chlorophyll metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Terpenoid backbone biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Nitrogen metabolism","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Aminoacyl-tRNA biosynthesis","Lactiplantibacillus"
"Group1","Lactiplantibacillus plantarum SK151","Drug metabolism - other enzymes","Lactiplantibacillus"
"Group1","Lactobacillus acidophilus La-14","Glycolysis / Gluconeogenesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Citrate cycle (TCA cycle)","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Pentose phosphate pathway","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Pentose and glucuronate interconversions","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Fructose and mannose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Galactose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Oxidative phosphorylation","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Photosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Arginine biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Purine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Pyrimidine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Alanine; aspartate and glutamate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Glycine; serine and threonine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Cysteine and methionine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Valine; leucine and isoleucine degradation","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Lysine biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Tyrosine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Taurine and hypotaurine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Selenocompound metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","D-Amino acid metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Glutathione metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Starch and sucrose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Amino sugar and nucleotide sugar metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","O-Antigen nucleotide sugar biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Peptidoglycan biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Glycerophospholipid metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Pyruvate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Propanoate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Butanoate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","One carbon pool by folate","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Methane metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Carbon fixation in photosynthetic organisms","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Carbon fixation pathways in prokaryotes","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Thiamine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Riboflavin metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Nicotinate and nicotinamide metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Pantothenate and CoA biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Porphyrin and chlorophyll metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Terpenoid backbone biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Nitrogen metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Aminoacyl-tRNA biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus La-14","Drug metabolism - other enzymes","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Glycolysis / Gluconeogenesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Citrate cycle (TCA cycle)","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Pentose phosphate pathway","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Pentose and glucuronate interconversions","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Fructose and mannose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Galactose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Oxidative phosphorylation","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Photosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Arginine biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Purine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Pyrimidine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Alanine; aspartate and glutamate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Glycine; serine and threonine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Cysteine and methionine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Valine; leucine and isoleucine degradation","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Lysine biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Tyrosine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Taurine and hypotaurine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Selenocompound metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","D-Amino acid metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Glutathione metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Starch and sucrose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Amino sugar and nucleotide sugar metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","O-Antigen nucleotide sugar biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Peptidoglycan biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Glycerophospholipid metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Pyruvate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Propanoate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Butanoate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","One carbon pool by folate","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Methane metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Carbon fixation in photosynthetic organisms","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Carbon fixation pathways in prokaryotes","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Thiamine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Riboflavin metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Nicotinate and nicotinamide metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Pantothenate and CoA biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Porphyrin and chlorophyll metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Terpenoid backbone biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Nitrogen metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Aminoacyl-tRNA biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus LA1","Drug metabolism - other enzymes","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Glycolysis / Gluconeogenesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Citrate cycle (TCA cycle)","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Pentose phosphate pathway","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Pentose and glucuronate interconversions","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Fructose and mannose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Galactose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Oxidative phosphorylation","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Photosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Arginine biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Purine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Pyrimidine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Alanine; aspartate and glutamate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Glycine; serine and threonine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Cysteine and methionine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Valine; leucine and isoleucine degradation","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Lysine biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Tyrosine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Taurine and hypotaurine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Selenocompound metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","D-Amino acid metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Glutathione metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Starch and sucrose metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Amino sugar and nucleotide sugar metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","O-Antigen nucleotide sugar biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Peptidoglycan biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Glycerophospholipid metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Pyruvate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Propanoate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Butanoate metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","One carbon pool by folate","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Methane metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Carbon fixation in photosynthetic organisms","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Carbon fixation pathways in prokaryotes","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Thiamine metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Riboflavin metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Nicotinate and nicotinamide metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Pantothenate and CoA biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Porphyrin and chlorophyll metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Terpenoid backbone biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Nitrogen metabolism","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Aminoacyl-tRNA biosynthesis","Lactobacillus"
"Group1","Lactobacillus acidophilus NCFM","Drug metabolism - other enzymes","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Glycolysis / Gluconeogenesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Citrate cycle (TCA cycle)","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Pentose phosphate pathway","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Pentose and glucuronate interconversions","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Fructose and mannose metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Galactose metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Oxidative phosphorylation","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Photosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Arginine biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Purine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Pyrimidine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Alanine; aspartate and glutamate metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Glycine; serine and threonine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Cysteine and methionine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Valine; leucine and isoleucine degradation","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Lysine biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Tyrosine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Taurine and hypotaurine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Selenocompound metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","D-Amino acid metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Glutathione metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Starch and sucrose metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Amino sugar and nucleotide sugar metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","O-Antigen nucleotide sugar biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Peptidoglycan biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Glycerophospholipid metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Pyruvate metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Propanoate metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Butanoate metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","One carbon pool by folate","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Methane metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Carbon fixation in photosynthetic organisms","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Carbon fixation pathways in prokaryotes","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Thiamine metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Riboflavin metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Nicotinate and nicotinamide metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Pantothenate and CoA biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Porphyrin and chlorophyll metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Terpenoid backbone biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Nitrogen metabolism","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Aminoacyl-tRNA biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylolyticus L5","Drug metabolism - other enzymes","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Glycolysis / Gluconeogenesis","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Citrate cycle (TCA cycle)","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Pentose phosphate pathway","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Pentose and glucuronate interconversions","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Fructose and mannose metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Galactose metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Oxidative phosphorylation","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Photosynthesis","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Arginine biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Purine metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Pyrimidine metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Alanine; aspartate and glutamate metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Glycine; serine and threonine metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Cysteine and methionine metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Valine; leucine and isoleucine degradation","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Lysine biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Tyrosine metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Taurine and hypotaurine metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Selenocompound metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","D-Amino acid metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Glutathione metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Starch and sucrose metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Amino sugar and nucleotide sugar metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","O-Antigen nucleotide sugar biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Peptidoglycan biosynthesis","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Glycerophospholipid metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Pyruvate metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Propanoate metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Butanoate metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","One carbon pool by folate","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Methane metabolism","Lactobacillus"
"Group1","Lactobacillus amylovorus S60","Carbon fixation in photosynthetic organisms","Lactobacillus"
